"Gene","Enrichment (WT)","FPM (WT)","ob/ob vs. Control","P (ob-ctrl)","STAT3KO vs. Control","P (ko-ctrl)","STAT3KO vs. ob/ob","P (ko-ob)","Group"
"Psmb10",0.698458946003104,63.2371966808852,0.261479684684686,0.593074029763869,0.772339510532558,0.00274598351026125,-0.510859825847872,0.275922753303845,"III"
"Psmb8",1.31687645278629,2.66877642458412,-0.332624153698424,0.634686765420993,3.66186934798412,1.24489112029399e-45,-3.99449350168254,1.45978819122915e-38,"III"
"Psmb9",0.347357155730172,1.2740223249963,-0.477697345344848,0.642841565580123,3.38569366508194,2.47885400867741e-18,-3.86339101042679,1.35221484026502e-16,"III"
"Psme2",1.15859335120264,31.148802074001,-0.177492295031879,0.701217509891261,0.623762374522704,0.00745008326620345,-0.801254669554583,0.00124840618438393,"III"
"Rtp4",-0.545064840429997,1.21081494718679,0.52486487966095,0.416770109671789,4.6275558098198,1.69391296272456e-66,-4.10269093015885,5.42957127380341e-41,"III"
"Samd9l",-0.565538991561164,2.04916168189875,-0.239981283964344,0.774383286124058,2.20587725492079,3.87412758510887e-14,-2.44585853888514,1.80017742377217e-12,"III"
"Samhd1",0.435332356154203,32.0588674922347,0.0472842315158138,0.899585262954279,0.821304612733616,5.9852183327465e-10,-0.774020381217803,6.70200168986254e-07,"III"
"Serpina3f",1.2402818852958,0.412675825116842,0.196472241211002,0.904494201671226,5.07766818267639,6.09769435414598e-24,-4.88119594146539,2.06975548800903e-16,"III"
"Stat2",-0.249701533260783,16.2479937326922,-0.20524136682643,0.727643882616761,0.674825456043097,0.0374912866076908,-0.880066822869527,0.00904370646882302,"III"
"Tap1",1.07619719434117,2.60112073948066,-0.477334978263214,0.433008713502107,2.75543554319674,2.14813960751152e-28,-3.23277052145996,8.64927542849313e-27,"III"
"Tapbp",0.813930319375987,27.8752677951606,-0.372747255601919,0.415341747476032,0.662560704320271,0.0202893271788754,-1.03530795992219,0.000215883314470245,"III"
"Tgtp1",0.848793422976129,0.100835445194395,-0.15844687578986,0.961506958057274,5.06406062890169,5.52225267806856e-09,-5.22250750469155,6.14159458460396e-06,"III"
"Trim12c",-1.26957575859539,0.875227286279846,0.111459055068382,0.937769444963331,2.13449231235,3.64827459664873e-05,-2.02303325728162,0.00155607989891138,"III"
"Trim21",0.443211607961874,4.0407206704528,-0.444022237674074,0.33089545123134,2.03936560993275,4.02770405409578e-24,-2.48338784760682,1.16942308786384e-24,"III"
