"Gene","FPM (WT)","FPM (STAT3KO)","FPM (ob/ob)","Enrichment (WT)","P (WT)","Enrichment (STAT3KO)","P (STAT3KO)","Enrichment (ob/ob)","P (ob/ob)"
"H2-Q7",0.602510345897344,10.6910820954874,0.486327780439264,1.21322041193892,0.0291955770220338,4.53457246344358,1.8536847795736e-29,0.245779058932443,0.9021012966411
"Psmb8",2.66877642458412,33.5048876149758,2.10605686092773,1.31687645278629,3.91087956392561e-05,4.15474507850454,2.69501876133438e-56,0.516098544695424,0.380555971478454
"Gpx3",483.546864316242,442.074291970527,463.54026487126,2.16874614470174,1.40375327522608e-28,1.98468434893516,4.24763007362154e-24,1.82775747605922,1.00119125122503e-12
"Sprr1a",0.244579299479794,0.249152748673919,0.362782824169461,2.63828775781731,0.0358697996678343,1.56743598981146,0.178548153324671,1.77385187021792,0.313488073629046
"Adh7",2.53809791667912,2.38169477288184,2.45519503611617,2.26594427844222,1.59602803132906e-08,1.72977395300268,9.86693694830183e-06,1.92603756661931,0.000887379879293398
"Procr",1.84241354137068,0.801395539610466,3.95582712214715,2.15045542085325,3.14800409367787e-07,1.22376786847761,0.0107392284685616,2.51934423111676,2.38483888340018e-06
"Prr19",2.55476829798948,2.57432693618846,2.9814412021843,2.35748096158934,2.25369652792329e-09,1.74926219930109,3.45135227544466e-06,1.76138370000763,0.00108684755709625
"Arhgap36",244.330441736894,258.355638330089,212.159148828804,2.10495011262095,5.95157013019326e-23,2.06667951710597,2.94130296300703e-22,1.6682566639818,5.00029383723760e-09
"Foxa2",5.6679937340873,6.22957149823002,6.11646257899895,2.30402803238894,2.77341495783636e-12,2.14723568981982,2.64422320964535e-11,1.34947583199121,0.00327466191262287
"Klrb1",0.132031414089156,0.224130843710509,0.214666172665622,2.56463165034836,0.177162074979664,2.66392314254001,0.117271119336814,0.52893922261082,0.926500507585949
"Uroc1",0.177133664029171,0.161710511624478,0.125933477783244,2.69142953324747,0.0782966734893434,2.06398321440064,0.164849939518289,0.997866787105641,0.770416668824455
"Milr1",0.444857532346498,1.44544167594546,1.34806747271482,1.2741218222852,0.066663874265747,1.92438850340472,0.000466051053079739,2.53857670440806,0.00353482325386334
"Corin",2.7952471854122,2.6972760218489,3.20294385817569,1.65172248047749,4.02983511537732e-07,2.09205528593753,4.4817999334665e-10,1.97861928013066,2.84344990673851e-05
"Hmx3",6.87455382924079,6.35067671594914,6.66184523484512,2.1749989080617,3.61733283259664e-13,2.06947873060564,4.06294034685722e-12,1.47219346005284,0.000447258510071418
"Dupd1",0.0105676414982464,0.114198109122157,0.247089912539607,-0.668209482514755,0.87823149150546,4.45731394664145,0.0389201470668677,1.9169459627827,0.562971220298187
"Fam183b",26.1297642056291,31.2611357110523,30.0793220993024,1.80139897322956,1.62821204441994e-27,1.90598342483263,8.46483018653718e-32,1.98152190879553,2.53928811490609e-20
"Adcyap1",197.987269375378,165.403571700534,130.142017516249,2.1825847593547,5.45211297939797e-23,1.9304180745955,4.58823312207082e-18,1.54559852507924,3.1987564083457e-07
"Vwf",6.30488196576242,8.65317719945131,3.20431681837494,2.0736714801962,0.0214872627670693,2.57896049394758,0.00364686734810493,0.995209053419439,0.56740284343605
"Malrd1",0.12757347048902,0.198644323555904,0.10375030406265,1.49373755117885,0.370324515102944,2.84512564331807,0.0734514564645619,1.28865269704238,0.71758369938903
"Adcy4",1.37369175671364,1.85122972859531,0.602707172168745,1.96238390389895,0.0178643565734325,2.26711472141249,0.00519114118512212,1.38693714456887,0.359685825959999
"Nts",129.290869777478,52.1425785622628,54.2473503415588,2.44648775575131,4.21767582889349e-16,1.47655917263743,2.62658937961604e-06,1.69292138973202,6.02557886684841e-05
"Tm4sf5",4.8342497466455,5.92869898899792,6.81064836644858,1.89129670464606,2.60091966263297e-12,2.12005138319797,5.10882568394659e-16,1.59722721900859,8.69624954503994e-06
"Resp18",655.667161009555,624.652198043526,688.404268143248,1.98620368249119,3.3968106492258e-23,1.87099802619992,1.15346634808674e-20,1.72015579528871,6.53389329573149e-11
"Mmrn2",1.9445412671533,2.38735920250905,0.916346605870136,2.09168994400149,0.00845792654605244,2.69967247740056,0.000586021900472614,0.767841107945219,0.658986769254367
"Gbp10",0.0177615124984281,0.740608231298714,0,1.87904441426219,0.512435958946216,5.12039986169366,0.0037149503962255,-1.44561485804657,0.825570926440594
"Tg",0.38240496896105,0.230780745980771,0.654925564249884,1.93026560577988,0.0776040131815735,0.950731272540934,0.467634443024907,2.66850413047366,0.0909350429776886
"Esyt3",35.219452377949,26.1347213041527,24.3703377731287,2.16451604810718,1.23252231445561e-31,1.67476864658656,4.05158241078975e-19,1.67383907410024,3.04309094548882e-11
"Timp1",1.5521362378899,0.601714171732048,0.42763030391743,3.49518325138546,4.33028324507789e-07,0.999050942443619,0.181124055838572,1.00435828174542,0.468494220538467
"Ret",176.129758176035,123.98353841213,111.544984244134,2.13760721580179,9.00816575228763e-18,1.84294095041337,2.7222082331103e-13,1.50986802353511,1.26578959484585e-05
"Ifi44",0.443871794011604,6.93654465708609,0.306473869161068,0.904809231337606,0.222847225157644,4.78372356510799,1.25854363850231e-17,-0.231759859062627,0.943980347119066
"Lypd3",0.342363374768132,0.812628126111063,0.802355735654096,1.20157034847287,0.198246712381,1.803580387564,0.0226761904606784,2.3940143582414,0.0513557051206759
"Slc5a9",0.0959663025412644,0.115935511534012,0.353228738115698,1.17355475757358,0.504990504935159,1.14980850633303,0.494231735209416,3.05387268511113,0.155766603470304
"Rtp1",2.25508240840152,2.64170226918337,2.79203320485234,2.36511438570121,1.3135858173755e-08,1.4017948829337,0.000273136104516174,1.58862239385055,0.0044732006096028
"Spint2",121.36930716077,123.546968972133,132.463869381839,1.93975625845754,1.03110394438215e-16,1.78586989044797,3.01132176531358e-14,1.60907265650269,3.1987564083457e-07
"Slc38a5",0.980272816250288,0.563039522086216,0.227295260332453,2.54081280314614,0.00984226523960546,2.1344024391084,0.0435375899904761,0.64921410821603,0.838376189363613
"Crh",14.5813593475209,18.4950015795814,20.333329237195,1.57451093816147,8.44191670034396e-07,2.0795387470727,3.75788498994093e-11,1.65573916464435,0.000142008158121249
